id,age,gen,edu,jdgoutfit,jdgjob,jdgborn,jdglive,jdgcar,jdguni,jdgdiet,jdgdrink,jdgteeth,jdgposts,jdggramr,jdgsparet,judgmt ,onenight,frndwb,sexo,datsites,firstdates,scnddates,ntlove,agevirg,cheat,sexyear,sexpartyear,sexpartlife,wlage,wldvrce,wlkids,wllive,wljob,wlfinance,wlinterest,wlsexhis,wldatehis
331,48,man,two year degree or some college,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,straight or heterosexual,NA,0,0,0,19,No,0,NA,3,0,0,0,0,0,0,0,0,0
345,20,man,two year degree or some college,1,0,0,0,0,0,0,0,0,0,0,0,1,no,no,straight or heterosexual,NA,1,1,2,19,"Yes, I've committed sexual infidelity",4,0,0,0,0,0,1,0,0,0,0,0
346,23,woman,high school degree or less,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,straight or heterosexual,NA,0,0,2,15,No,5,1,3,0,0,0,0,0,0,0,0,0
347,19,woman,high school degree or less,0,0,0,0,0,0,0,0,0,1,1,0,2,NA,NA,bisexual,2,0,0,2,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
348,29,woman,two year degree or some college,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,straight or heterosexual,2,4,1,3,18,No,2,2,5,0,0,0,0,0,0,1,1,1
358,28,woman,graduate or professional degree,1,0,0,0,0,0,1,0,1,1,1,1,6,yes,yes,straight or heterosexual,2,7,2,3,18,"Yes, I've committed emotional infidelity",25,3,10,0,0,0,1,0,0,0,1,1
366,22,woman,bachelors degree,1,1,0,1,1,0,0,1,1,1,1,1,9,no,no,straight or heterosexual,2,0,2,1,20,No,5,1,1,0,0,0,0,0,0,1,0,0
379,29,woman,graduate or professional degree,1,1,1,1,1,1,1,0,0,1,1,1,10,no,yes,straight or heterosexual,0,5,3,2,19,No,30,2,5,0,0,0,0,0,0,0,0,0
386,24,man,two year degree or some college,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,straight or heterosexual,0,0,0,1,13 & under,"Yes, I've committed emotional infidelity",218,1,13,0,0,0,0,0,0,0,0,0
388,49,woman,high school degree or less,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,straight or heterosexual,1,0,0,2,16,"Yes, I've committed both sexual and emotional infidelity",0,NA,15,0,0,0,0,0,0,0,0,0
400,60,man,bachelors degree,0,0,0,0,0,0,0,1,0,0,1,0,2,yes,yes,homosexual or gay or lesbian,2,0,2,2,19,"Yes, I've committed sexual infidelity",19,2,7,0,0,0,0,0,0,0,1,0
405,53,woman,high school degree or less,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,straight or heterosexual,NA,0,0,1,25,No,4,1,3,0,0,0,0,0,0,0,0,0
420,26,woman,bachelors degree,0,0,0,0,0,0,0,0,1,1,1,1,4,yes,yes,straight or heterosexual,NA,0,0,3,16,No,10,3,NA,1,0,0,1,1,0,0,1,1
421,28,woman,bachelors degree,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,straight or heterosexual,2,3,1,3,Still a virgin,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0
446,24,woman,two year degree or some college,0,1,0,0,0,1,0,0,0,0,0,1,3,yes,yes,straight or heterosexual,1,1,0,3,20,No,1,1,3,0,0,0,0,0,0,0,0,0
454,22,woman,bachelors degree,1,1,1,0,1,1,1,1,1,1,1,1,11,no,no,homosexual or gay or lesbian,3,4,2,1,21,"Yes, I've committed sexual infidelity",28,NA,7,0,0,0,1,1,1,1,1,1
460,48,woman,two year degree or some college,0,0,0,0,0,0,0,0,0,1,1,0,2,no,no,straight or heterosexual,NA,0,0,2,20,No,0,NA,2,0,0,0,0,0,0,0,0,0
472,42,woman,bachelors degree,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,straight or heterosexual,0,1,0,3,20,No,6,1,4,0,0,0,0,0,0,0,0,0
485,24,woman,two year degree or some college,1,0,0,0,0,1,0,0,0,1,0,0,3,yes,yes,bisexual,3,5,3,3,18,No,37,4,5,0,0,0,0,0,0,0,0,0
492,51,man,bachelors degree,0,0,0,0,0,0,1,0,1,1,0,0,3,yes,yes,homosexual or gay or lesbian,2,4,4,4,13 & under,"Yes, I've committed sexual infidelity",18,10,100,0,0,0,0,0,1,0,1,1
493,21,woman,two year degree or some college,1,1,0,0,0,0,0,0,1,1,1,1,6,NA,NA,straight or heterosexual,2,1,1,1,Still a virgin,NA,NA,NA,NA,0,0,0,0,1,0,1,1,1
503,44,woman,two year degree or some college,0,0,0,0,0,0,0,0,0,1,0,1,2,no,no,straight or heterosexual,0,0,0,2,16,"Yes, I've committed emotional infidelity",0,NA,NA,0,0,0,0,0,0,0,0,0
508,31,woman,high school degree or less,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,straight or heterosexual,2,1,0,5,19,"Yes, I've committed both sexual and emotional infidelity",4,1,50,0,0,0,0,0,0,0,1,1
514,20,woman,two year degree or some college,1,1,1,1,1,1,0,1,1,1,0,1,10,NA,NA,straight or heterosexual,1,2,1,0,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
518,18,woman,high school degree or less,1,1,0,0,0,0,1,0,0,1,0,0,4,no,no,straight or heterosexual,NA,6,6,1,17,No,15,1,1,0,0,0,0,0,0,0,1,1
521,19,man,two year degree or some college,0,0,1,1,0,0,0,0,0,1,1,0,4,NA,NA,homosexual or gay or lesbian,1,0,0,2,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0
552,24,woman,bachelors degree,1,1,1,1,1,1,1,1,1,1,1,1,12,no,no,straight or heterosexual,NA,1,0,1,24,No,0,NA,1,0,0,0,0,0,0,0,0,0
553,19,woman,two year degree or some college,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,straight or heterosexual,NA,2,2,1,17,No,7,2,2,0,0,0,0,0,0,0,0,0
564,58,man,two year degree or some college,1,0,0,0,0,0,1,0,0,0,0,1,3,no,no,straight or heterosexual,NA,0,0,2,19,No,0,NA,2,0,0,0,0,0,0,0,0,0
571,29,woman,bachelors degree,1,1,0,0,1,0,0,0,0,1,0,1,5,yes,yes,straight or heterosexual,3,5,0,0,24,No,3,1,4,0,0,0,0,0,0,0,0,0
580,25,man,graduate or professional degree,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,straight or heterosexual,NA,0,0,1,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
591,27,woman,two year degree or some college,0,1,0,0,0,0,0,0,0,1,0,1,3,no,no,bisexual,2,0,0,0,19,No,0,NA,4,0,0,0,0,0,0,0,0,1
597,25,man,graduate or professional degree,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,straight or heterosexual,NA,0,0,0,Still a virgin,NA,NA,NA,NA,0,0,0,1,1,0,1,0,0
598,46,woman,graduate or professional degree,0,0,0,0,1,0,0,1,0,0,1,1,4,NA,NA,straight or heterosexual,3,0,0,1,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
612,33,woman,bachelors degree,0,1,0,0,0,0,0,0,1,0,0,0,2,no,no,straight or heterosexual,NA,4,2,2,19,No,3,2,NA,0,0,0,0,0,0,0,0,0
628,31,woman,bachelors degree,1,0,0,0,1,0,0,0,0,1,1,1,5,NA,NA,straight or heterosexual,2,0,1,0,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1
668,33,woman,two year degree or some college,0,0,0,0,0,0,0,0,0,1,0,0,1,yes,yes,straight or heterosexual,1,0,0,1,18,"Yes, I've committed sexual infidelity",0,NA,7,0,0,0,0,0,1,0,1,1
690,58,man,two year degree or some college,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,straight or heterosexual,1,0,0,11,17,"Yes, I've committed sexual infidelity",0,NA,25,0,0,0,0,0,0,0,0,0
693,22,woman,bachelors degree,1,0,0,0,0,0,0,0,1,1,1,1,5,yes,no,homosexual or gay or lesbian,2,1,1,3,15,"Yes, I've committed sexual infidelity",105,1,13,0,0,0,0,0,0,0,0,1
701,47,man,bachelors degree,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,straight or heterosexual,NA,0,0,1,19,No,0,NA,4,0,0,0,0,0,0,0,0,0
705,20,woman,two year degree or some college,0,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,straight or heterosexual,1,0,0,0,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
708,20,woman,two year degree or some college,1,1,1,1,0,0,0,0,0,1,0,1,6,NA,NA,bisexual,2,1,0,1,Still a virgin,NA,NA,NA,NA,1,0,0,1,0,0,1,0,0
709,24,woman,bachelors degree,0,0,0,0,0,0,0,0,1,1,1,1,4,no,no,straight or heterosexual,1,3,2,1,16,No,30,1,2,0,0,0,0,0,0,1,0,0
729,51,woman,bachelors degree,1,1,0,1,1,0,1,1,1,1,0,1,9,no,no,straight or heterosexual,NA,0,0,4,21,No,0,NA,1,0,0,0,0,0,0,0,0,0
736,38,woman,two year degree or some college,1,0,0,0,0,0,0,0,1,1,0,1,4,yes,no,straight or heterosexual,NA,0,0,2,18,"Yes, I've committed both sexual and emotional infidelity",0,NA,NA,0,0,0,0,0,0,0,0,0
752,27,woman,graduate or professional degree,0,1,0,0,0,0,0,0,0,1,1,0,3,no,no,straight or heterosexual,2,6,2,2,Prefer not to answer,"Yes, I've committed emotional infidelity",0,NA,NA,0,0,0,0,0,0,0,0,1
768,26,woman,bachelors degree,1,0,0,1,1,0,1,1,0,1,1,1,8,no,yes,straight or heterosexual,NA,2,2,2,17,No,0,NA,2,0,0,0,0,0,0,0,0,0
784,34,woman,bachelors degree,0,0,0,0,0,0,0,1,0,1,0,1,3,no,no,straight or heterosexual,1,1,0,2,18,No,0,NA,NA,0,0,0,0,0,0,0,0,0
790,35,man,bachelors degree,0,0,0,0,1,0,0,0,0,0,0,1,2,no,no,straight or heterosexual,3,5,4,3,20,"Yes, I've committed sexual infidelity",5,2,2,0,0,0,0,0,0,1,0,0
798,23,woman,high school degree or less,0,0,0,1,0,0,0,0,1,0,0,0,2,no,yes,bisexual,2,1,0,4,19,No,1,1,3,0,0,0,0,0,0,0,1,0
810,26,woman,bachelors degree,1,1,1,1,1,1,1,0,1,1,1,1,11,no,no,straight or heterosexual,2,10,4,4,18,"Yes, I've committed both sexual and emotional infidelity",5,1,5,0,0,0,0,0,0,0,1,0
811,22,woman,high school degree or less,1,0,0,0,1,0,1,0,0,0,1,0,4,yes,yes,straight or heterosexual,2,1,1,1,20,No,1,1,2,0,0,0,0,0,1,0,0,0
815,18,woman,high school degree or less,0,0,0,0,0,0,0,0,0,1,0,0,1,no,yes,straight or heterosexual,3,4,4,3,16,"Yes, I've committed sexual infidelity",2,1,1,1,0,0,0,0,0,0,0,0
817,36,woman,two year degree or some college,1,0,0,1,1,0,0,0,0,1,0,0,4,no,no,straight or heterosexual,NA,0,0,1,19,No,2,1,1,0,0,0,1,0,0,0,0,0
822,28,woman,graduate or professional degree,1,1,0,0,0,0,0,0,0,1,1,0,4,yes,yes,straight or heterosexual,0,0,0,2,16,"Yes, I've committed emotional infidelity",4,1,10,0,0,0,0,0,0,0,0,0
829,53,woman,two year degree or some college,1,0,0,0,0,0,0,0,1,1,1,1,5,yes,yes,straight or heterosexual,1,0,0,3,16,"Yes, I've committed both sexual and emotional infidelity",90,1,10,0,0,0,0,0,0,0,1,1
830,29,man,graduate or professional degree,1,1,1,1,1,1,0,1,1,0,1,0,9,yes,yes,bisexual,3,4,2,2,20,No,3,2,6,0,0,0,0,0,0,0,1,1
832,29,man,two year degree or some college,0,0,0,0,0,0,0,0,0,1,1,0,2,yes,no,straight or heterosexual,1,1,0,0,16,"Yes, I've committed both sexual and emotional infidelity",1,1,21,0,0,1,0,0,0,0,0,1
837,40,man,graduate or professional degree,0,1,0,0,0,0,0,0,0,1,1,0,3,no,no,straight or heterosexual,NA,0,0,1,21,No,0,NA,2,0,0,0,0,0,0,0,0,0
840,54,man,bachelors degree,0,0,0,0,0,0,0,0,0,1,0,0,1,no,no,straight or heterosexual,NA,2,1,4,20,No,10,NA,NA,0,0,0,0,0,0,0,0,0
841,39,man,bachelors degree,1,0,1,0,0,0,1,0,1,1,1,0,6,yes,yes,straight or heterosexual,1,3,10,2,15,"Yes, I've committed sexual infidelity",24,6,30,0,0,0,0,0,0,0,0,0
842,42,man,bachelors degree,0,1,0,0,0,0,0,1,0,1,0,1,4,yes,no,straight or heterosexual,1,2,1,4,19,"Yes, I've committed emotional infidelity",3,1,4,1,0,0,0,0,0,0,1,1
846,19,woman,high school degree or less,0,0,0,0,0,0,0,1,0,1,0,0,2,no,yes,straight or heterosexual,2,1,2,5,19,"Yes, I've committed emotional infidelity",4,1,1,0,0,0,0,0,0,1,0,1
848,26,man,two year degree or some college,1,0,0,0,0,0,0,0,1,1,0,0,3,yes,no,homosexual or gay or lesbian,0,0,0,0,23,No,0,NA,2,0,0,0,0,0,0,0,0,0
852,38,man,two year degree or some college,1,0,0,0,0,0,0,0,0,1,1,1,4,yes,yes,straight or heterosexual,0,0,1,1,16,"Yes, I've committed sexual infidelity",2,1,20,0,0,0,1,0,1,0,0,0
854,51,woman,two year degree or some college,0,0,0,0,0,0,0,0,0,1,0,0,1,yes,no,homosexual or gay or lesbian,NA,0,0,2,16,No,0,NA,4,0,0,0,0,0,0,0,0,0
865,31,man,graduate or professional degree,0,1,0,0,0,0,0,0,1,0,0,0,2,yes,yes,homosexual or gay or lesbian,0,4,3,1,20,"Yes, I've committed both sexual and emotional infidelity",12,4,47,0,0,0,0,0,0,0,1,0
868,40,man,high school degree or less,0,0,0,0,0,0,0,0,0,1,0,0,1,yes,no,straight or heterosexual,1,4,3,1,38,"Yes, I've committed sexual infidelity",7,6,1,0,0,0,0,0,1,0,0,0
880,46,man,bachelors degree,0,0,0,0,0,0,0,0,1,0,0,0,1,yes,no,homosexual or gay or lesbian,2,1,0,3,20,No,2,2,30,0,0,0,0,0,0,0,1,0
887,22,man,two year degree or some college,0,0,0,0,1,0,0,1,1,1,1,1,6,yes,yes,straight or heterosexual,NA,0,0,1,16,"Yes, I've committed both sexual and emotional infidelity",100,5,8,0,0,0,0,1,0,1,0,0
896,44,man,bachelors degree,1,1,1,0,1,1,0,1,1,1,1,1,10,yes,yes,straight or heterosexual,2,2,1,1,20,No,1,1,12,0,0,0,0,0,0,0,0,0
898,19,woman,two year degree or some college,1,1,0,0,0,1,0,0,1,1,0,0,5,yes,yes,bisexual,2,0,0,1,15,No,10,4,4,0,0,0,0,0,0,0,1,0
899,51,man,graduate or professional degree,1,0,0,0,0,0,0,0,0,0,1,0,2,yes,no,straight or heterosexual,0,1,1,8,18,No,7,1,15,0,0,0,0,0,0,0,0,0
901,44,woman,high school degree or less,0,1,0,0,0,0,1,0,0,0,1,0,3,no,yes,straight or heterosexual,2,14,4,3,15,"Yes, I've committed sexual infidelity",13,4,30,0,0,0,0,0,0,0,0,1
924,47,man,two year degree or some college,0,0,0,1,0,0,0,0,0,0,0,0,1,no,no,straight or heterosexual,NA,0,0,2,15,No,0,NA,2,0,0,0,0,0,0,0,0,0
931,36,man,two year degree or some college,1,1,0,0,0,0,1,0,0,1,0,1,5,yes,yes,straight or heterosexual,3,0,0,3,18,"Yes, I've committed both sexual and emotional infidelity",25,3,30,0,0,0,0,0,0,0,1,1
942,46,man,bachelors degree,1,0,0,0,0,0,0,0,1,1,1,0,4,yes,yes,straight or heterosexual,0,10,4,2,13 & under,No,40,2,32,0,0,0,0,0,0,0,0,0
948,43,woman,bachelors degree,0,0,0,0,0,0,0,0,1,0,0,1,2,no,yes,straight or heterosexual,NA,0,0,5,16,No,0,NA,NA,0,0,0,0,0,0,0,0,0
949,43,man,bachelors degree,0,0,0,0,0,0,1,1,1,0,1,1,5,yes,no,straight or heterosexual,NA,0,0,0,24,No,3,1,7,1,0,0,0,0,0,0,0,0
955,47,woman,bachelors degree,1,0,0,0,0,0,0,0,1,1,1,0,4,no,yes,straight or heterosexual,1,1,1,2,20,No,3,1,2,0,0,0,1,0,0,0,0,0
961,37,woman,high school degree or less,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,straight or heterosexual,NA,1,0,2,17,"Yes, I've committed emotional infidelity",6,1,3,0,0,0,0,0,0,0,0,0
963,30,woman,graduate or professional degree,0,1,0,0,0,0,1,0,0,1,0,1,4,no,no,straight or heterosexual,NA,0,0,2,19,"Yes, I've committed emotional infidelity",0,NA,3,0,0,0,0,0,1,1,1,1
971,49,woman,bachelors degree,0,0,0,0,0,0,0,0,0,1,1,1,3,no,no,straight or heterosexual,NA,0,0,1,26,No,0,NA,1,0,0,0,0,0,0,0,1,1
972,23,man,bachelors degree,1,0,0,0,0,0,0,0,1,1,1,1,5,yes,yes,homosexual or gay or lesbian,2,0,2,2,17,No,15,1,2,0,0,0,0,0,0,1,0,0
973,39,man,two year degree or some college,0,1,0,0,0,0,0,0,1,1,0,1,4,no,no,straight or heterosexual,3,1,1,2,17,No,1,1,4,0,0,0,0,0,0,0,0,0
986,52,man,high school degree or less,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,straight or heterosexual,NA,0,0,4,23,No,0,NA,4,0,0,0,0,0,0,0,0,0
987,31,woman,bachelors degree,1,1,0,0,1,0,0,0,0,1,1,1,6,yes,yes,straight or heterosexual,1,0,0,0,21,No,0,NA,10,0,0,0,0,0,0,0,1,1
991,54,woman,graduate or professional degree,0,1,0,0,0,0,0,0,0,0,1,0,2,yes,no,straight or heterosexual,NA,0,0,4,16,"Yes, I've committed both sexual and emotional infidelity",2,2,15,0,0,0,0,1,0,1,0,0
1020,48,woman,bachelors degree,1,0,0,0,1,0,0,0,1,0,1,0,4,yes,yes,straight or heterosexual,2,5,4,5,14,"Yes, I've committed sexual infidelity",10,3,NA,0,0,0,0,0,0,0,1,0
1053,60,woman,graduate or professional degree,0,1,0,0,0,0,0,1,1,0,0,0,3,no,no,homosexual or gay or lesbian,1,0,0,2,28,No,0,NA,3,0,1,0,0,0,0,0,0,1
1066,39,woman,graduate or professional degree,0,0,0,0,0,0,0,0,1,1,1,1,4,yes,yes,straight or heterosexual,0,0,0,2,14,"Yes, I've committed emotional infidelity",10,1,21,0,0,0,1,0,0,0,0,0
1075,24,man,bachelors degree,1,0,1,0,0,1,0,0,0,0,0,0,3,no,no,straight or heterosexual,NA,1,0,0,Prefer not to answer,No,0,NA,NA,0,0,0,0,0,0,0,0,1
1082,44,woman,graduate or professional degree,1,1,0,1,1,0,0,0,0,1,1,1,7,yes,no,straight or heterosexual,NA,0,0,2,18,No,0,NA,NA,0,0,0,1,0,0,0,0,0
1084,29,woman,bachelors degree,0,1,0,0,0,0,0,0,1,1,1,1,5,no,no,straight or heterosexual,0,3,2,1,16,No,0,NA,1,0,0,0,0,0,1,0,1,1
1096,36,man,bachelors degree,0,0,0,0,0,1,0,0,0,0,0,0,1,no,yes,straight or heterosexual,NA,6,6,6,36,"Yes, I've committed emotional infidelity",3,2,5,0,0,0,0,0,1,0,0,0
1100,25,man,graduate or professional degree,1,0,1,0,1,1,0,0,0,0,1,1,6,no,no,straight or heterosexual,1,3,2,2,Prefer not to answer,No,NA,1,1,0,0,0,0,0,0,0,0,0
1102,40,woman,graduate or professional degree,1,0,0,0,1,0,1,1,1,1,1,1,8,no,yes,straight or heterosexual,0,0,0,1,15,No,2,1,11,0,0,0,0,0,0,0,0,0
1108,39,man,two year degree or some college,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,straight or heterosexual,1,0,0,1,Still a virgin,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1
1121,32,man,graduate or professional degree,0,1,0,0,0,0,0,1,1,0,0,1,4,no,yes,homosexual or gay or lesbian,1,10,5,3,21,No,9,4,12,0,0,0,0,0,0,0,0,1
1122,30,woman,graduate or professional degree,0,0,0,0,0,0,0,0,0,1,0,1,2,no,yes,straight or heterosexual,NA,0,0,1,23,"Yes, I've committed emotional infidelity",0,NA,2,0,0,0,0,0,0,0,0,0
